52,121,57,102,54,85,-0.9081319014547904
46,73,54,85,57,102,-0.9157882087939493
132,10,139,34,135,42,-0.733430296619931
131,56,135,42,139,34,-0.9828721869343219
72,87,83,104,95,119,-0.9949605321017585
110,124,95,119,83,104,-0.8395701571521512
25,243,22,229,26,219,-0.8300495997825932
41,211,26,219,22,229,-0.7646278630819783
17,255,29,269,36,276,-0.9970544855015816
37,296,36,276,29,269,-0.741535779123771
48,334,66,331,78,318,-0.7898523141573855
88,300,78,318,66,331,-0.9717357148917177
90,194,78,176,67,158,-0.9992218234090148
58,147,67,158,78,176,-0.9906055551487915
174,264,155,276,145,278,-0.9337947214851732
137,273,145,278,155,276,-0.7275894061853057
64,-3,69,13,83,31,-0.9365440193852999
92,41,83,31,69,13,-0.9974255002551751
221,318,245,319,261,313,-0.9208999884760535
280,304,261,313,245,319,-0.9965072580909808
189,29,168,22,154,13,-0.9690145353270457
132,10,154,13,168,22,-0.9065285012588319
65,526,58,500,45,489,-0.8221921916437787
34,476,45,489,58,500,-0.9862068965517239
