61,0,1
81,4,1
126,-3,1
147,3,2
216,7,1
574,6,1
7,12,1
30,15,2
51,23,0
70,16,0
109,22,2
140,23,2
149,18,2
189,22,1
218,23,2
280,13,1
303,24,2
316,19,2
329,14,2
349,15,1
458,10,1
565,26,0
8,36,2
19,35,2
36,38,2
57,35,2
83,29,2
104,33,2
123,33,2
135,30,2
165,33,1
184,36,0
205,36,2
224,38,0
269,35,1
291,32,0
333,33,0
352,30,2
387,37,2
422,31,2
443,37,0
559,30,1
570,30,2
668,42,2
828,37,2
9,49,1
33,50,2
53,54,0
67,51,2
114,56,1
138,53,1
147,56,0
177,51,0
188,57,2
213,51,2
238,50,0
251,54,2
278,59,1
298,43,1
337,55,0
359,54,2
375,56,2
405,49,2
440,55,0
464,49,2
480,57,2
577,57,2
650,60,2
828,59,1
3,72,1
25,70,1
47,66,2
63,74,2
87,73,2
98,68,1
118,67,2
139,70,1
160,69,0
173,64,2
200,73,2
228,68,1
249,59,2
263,65,0
311,65,1
330,69,0
356,77,2
368,63,0
425,67,2
445,66,1
491,76,2
588,78,0
611,73,2
14,84,0
31,88,0
51,85,2
64,87,2
93,88,2
114,85,2
133,95,0
153,88,0
166,92,2
190,96,1
215,91,2
257,84,2
270,87,2
292,94,2
326,85,2
326,91,2
370,93,1
432,93,2
499,97,2
587,84,2
1,97,2
18,107,2
38,101,1
84,110,2
99,103,0
117,103,0
135,101,2
159,103,1
207,107,0
231,112,2
238,108,2
264,95,2
313,109,0
355,115,2
406,102,2
512,107,0
528,108,2
601,108,2
12,118,2
34,124,2
53,123,2
71,127,2
86,128,2
108,124,1
137,116,2
147,123,1
175,129,1
209,116,2
257,118,1
294,116,2
307,121,0
337,118,0
373,126,1
417,122,2
509,120,1
539,115,2
594,126,2
21,137,2
38,137,0
68,136,2
82,138,0
99,140,0
166,139,2
178,141,2
296,137,0
311,149,2
344,137,2
365,131,2
448,146,2
37,157,0
55,158,0
71,156,1
111,157,0
133,159,1
164,162,0
176,164,1
205,165,2
240,160,2
289,151,1
350,151,2
420,162,1
2,166,1
18,177,0
36,175,2
60,177,1
90,171,1
100,173,0
115,181,2
167,179,2
205,175,2
244,167,1
309,180,1
348,174,0
428,169,2
451,176,0
467,189,2
13,191,2
32,196,2
50,198,2
113,191,2
133,192,2
155,185,0
163,194,2
192,201,2
211,186,2
340,188,1
357,188,1
463,194,2
23,209,2
38,209,0
59,210,2
90,211,2
105,210,2
125,207,0
164,213,0
182,213,2
207,213,0
221,205,2
462,217,2
9,231,2
25,230,2
64,229,2
96,228,2
120,230,2
128,233,1
167,227,2
206,226,1
233,235,1
489,227,1
9,243,2
24,248,0
34,244,1
64,245,1
86,247,1
99,245,2
164,242,2
241,250,0
16,263,1
27,264,0
51,263,1
90,274,2
125,273,2
150,256,1
220,264,2
252,266,2
44,277,0
65,282,0
86,276,2
113,280,2
143,281,2
167,285,2
204,283,2
271,282,2
280,288,1
6,300,1
29,302,2
48,299,2
66,304,0
196,293,2
210,309,0
229,293,1
59,315,2
88,316,1
102,328,2
143,311,2
169,311,2
177,323,0
202,317,2
70,334,0
89,343,0
132,322,1
158,331,2
173,339,0
24,347,2
50,357,2
62,351,2
88,347,1
127,358,2
135,354,2
163,364,0
11,369,2
105,376,2
142,371,2
154,376,2
197,369,2
3,381,2
34,391,1
79,399,0
102,383,2
146,383,0
199,384,2
298,389,1
22,399,2
64,409,0
84,405,1
119,413,2
130,397,2
145,412,1
196,413,2
311,407,2
44,420,2
72,428,2
129,423,2
136,429,0
231,430,2
30,443,2
75,434,1
262,440,2
287,448,0
47,463,0
56,454,1
130,453,2
133,457,2
153,460,2
303,454,2
23,479,1
55,482,2
16,502,1
37,491,0
100,493,1
147,502,0
429,493,1
122,513,2
172,528,2
411,520,2
178,549,2
161,588,0
211,587,1
34,598,2
81,604,2
187,608,2
18,613,2
79,619,2
107,618,2
146,620,0
13,643,2
156,633,2
9,661,1
145,689,2
117,707,2
137,733,1
