270,-1,2
288,-3,2
309,-3,1
394,7,1
593,6,2
612,2,0
646,8,2
129,17,2
395,8,2
516,16,1
657,16,2
712,19,0
744,18,2
767,9,2
785,8,2
809,28,0
829,11,2
862,14,2
890,23,0
61,43,2
90,42,0
93,27,1
232,35,2
268,31,0
432,25,2
441,37,0
467,32,2
490,27,2
511,46,2
525,31,0
581,30,2
612,32,1
887,32,2
918,34,2
31,54,2
53,48,0
106,46,2
192,59,0
280,44,2
425,53,0
499,53,0
546,54,0
562,48,0
578,57,0
935,46,2
948,46,2
15,62,2
64,67,2
355,74,2
408,67,2
452,72,1
494,76,2
542,72,2
574,72,2
593,65,1
696,60,1
755,78,1
771,73,2
794,71,2
862,65,1
954,62,2
978,71,2
5,84,2
66,89,2
209,94,0
299,84,2
312,89,2
399,85,0
483,86,1
535,87,0
557,92,1
584,80,2
600,84,2
998,79,2
1003,88,2
6,112,1
21,100,2
165,101,1
178,112,2
235,104,2
395,109,2
404,100,0
427,99,1
532,114,2
575,111,2
599,103,2
614,92,0
661,105,0
665,106,2
916,110,1
995,116,2
37,128,2
51,115,2
89,123,1
212,130,1
278,127,1
393,119,1
454,117,1
479,124,2
558,126,1
585,117,0
593,129,2
705,132,2
878,128,2
914,124,2
931,131,2
39,143,2
57,141,2
100,144,2
295,146,2
445,151,2
463,135,0
489,129,2
530,140,2
587,138,1
649,134,1
819,148,2
861,143,2
924,137,0
967,135,2
82,157,2
274,171,2
318,159,2
357,162,2
397,159,2
427,156,2
462,156,2
499,151,2
518,159,0
734,167,2
810,166,2
886,154,0
916,160,2
177,170,1
264,176,2
306,168,0
548,171,2
570,168,2
620,183,2
793,182,1
848,171,2
883,164,1
215,188,2
303,189,1
371,188,2
683,188,1
728,188,2
492,813,1
535,817,2
551,810,0
563,813,2
598,821,0
355,831,2
370,826,2
396,832,0
420,819,1
481,832,2
628,829,0
644,819,1
717,835,1
489,837,0
514,852,0
649,852,2
733,843,2
778,855,2
245,865,1
273,865,2
353,863,1
425,870,0
466,868,2
514,865,2
591,867,1
789,875,0
410,888,2
679,878,2
771,877,1
826,888,2
259,898,0
335,911,1
483,908,1
507,901,0
529,904,2
685,896,0
287,915,1
352,922,2
417,921,2
570,913,2
587,918,2
608,918,1
675,916,2
711,908,2
742,914,2
783,921,2
817,921,2
235,934,2
244,942,2
660,939,2
793,936,2
819,929,2
274,961,2
334,953,2
348,944,2
420,961,2
429,947,0
440,963,2
317,965,0
340,982,2
364,973,2
371,975,2
482,962,1
500,975,2
536,974,2
580,975,2
607,968,2
664,969,2
706,973,0
745,970,1
403,990,2
445,992,2
469,999,2
492,997,2
510,995,0
531,981,2
565,984,0
613,988,1
706,981,1
560,998,1
