[local] 1 -1 77.6042 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 1 -13 59.2448 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 1 1 79.2318 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 1 -11 66.4062 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 1 -5 74.1536 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 1 -15 43.3594 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 1 3 77.2135 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 1 -9 67.2526 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 5 -3 84.0495 (best c=2048.0, g=0.03125, rate=86.5885)
[local] -1 -3 72.0703 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 11 -3 85.2214 (best c=2048.0, g=0.03125, rate=86.5885)
[local] -3 -3 51.8229 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 9 -3 85.2214 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 3 -3 81.5755 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 15 -3 85.2214 (best c=2048.0, g=0.03125, rate=86.5885)
[local] -5 -3 47.8516 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 7 -3 84.5703 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 1 -3 76.9531 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 13 -7 85.8724 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 13 -1 81.9661 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 13 -13 77.0833 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 13 1 80.1432 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 13 -11 81.7708 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 13 -5 86.3932 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 13 -15 71.6797 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 13 3 77.6693 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 13 -9 83.6589 (best c=2048.0, g=0.03125, rate=86.5885)
[local] 13 -3 85.2214 (best c=2048.0, g=0.03125, rate=86.5885)
2048.0 0.03125 86.5885
